Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate
00736,48476.0,41.3,20166.0,12391.0,21635.0,44.630332535687764,4.466127568281212
00738,31558.0,40.7,19284.0,11081.0,13443.0,42.597756511819505,11.607199442296723
00739,37380.0,38.5,20619.0,11107.0,15775.0,42.20171214553237,5.976457998929909
00740,1517.0,36.5,12934.0,7125.0,928.0,61.17336849044166,23.467369808833222
00741,5168.0,41.0,22766.0,9385.0,2178.0,42.143962848297214,8.630030959752322
00745,52624.0,40.1,22909.0,10927.0,19531.0,37.114244451200975,9.727500760109455
00751,22174.0,39.5,16188.0,8951.0,11879.0,53.57175069901687,2.6292053756651934
00754,38636.0,40.1,18594.0,10482.0,17606.0,45.56889947199503,3.8642716637333057
00757,22475.0,37.2,16816.0,10478.0,11045.0,49.143492769744164,3.506117908787542
00765,8721.0,41.3,16149.0,11211.0,3226.0,36.99117073730077,4.827428047242289
00766,23931.0,37.8,19595.0,10406.0,11955.0,49.95612385608625,9.581714094688897
00767,35042.0,41.6,15573.0,8668.0,18314.0,52.26299868728954,7.662233890759659
00769,39605.0,39.4,19215.0,10328.0,19083.0,48.18331018810756,2.5931069309430628
00771,37705.0,38.0,20332.0,10254.0,17258.0,45.77111788887415,7.152897493701101
00772,20784.0,37.2,15032.0,7516.0,12014.0,57.804080061585836,11.479984603541185
00773,18952.0,39.8,19377.0,10434.0,8649.0,45.636344449134654,11.191430983537357
00775,1480.0,39.1,23092.0,11291.0,615.0,41.554054054054056,0.7432432432432432
00777,40611.0,37.7,18684.0,9220.0,20541.0,50.57989214744774,10.455295363325208
00778,46852.0,38.3,32708.0,16622.0,14361.0,30.65183983607957,6.450098181507727
00780,11679.0,38.0,21834.0,14409.0,4591.0,39.30987242058396,4.589434026885863
00782,18196.0,37.7,13073.0,6996.0,10576.0,58.12266432182897,8.315014288854693
00783,34240.0,37.9,14476.0,7823.0,19045.0,55.62207943925234,9.500584112149532
00784,41417.0,37.6,15653.0,9317.0,21515.0,51.94726803003598,1.909843783953449
00786,249.0,65.8,-666666666.0,13990.0,51.0,20.481927710843372,0.0
00791,49551.0,41.3,18595.0,11926.0,22625.0,45.660027042844746,3.7133458456943353
00794,29296.0,35.4,15667.0,7702.0,17589.0,60.03891316220644,2.7205079191698527
00795,45573.0,37.8,20430.0,10164.0,21540.0,47.26482785860049,8.867092357316832
00901,6540.0,41.3,16929.0,27466.0,2754.0,42.11009174311926,4.250764525993884
00906,91.0,41.2,101346.0,70076.0,14.0,15.384615384615385,0.0
00907,16819.0,48.6,32601.0,38603.0,4426.0,26.315476544384328,4.387894642963316
00909,5430.0,38.7,17959.0,15141.0,2598.0,47.84530386740332,6.906077348066298
00911,7617.0,47.8,30978.0,28595.0,2230.0,29.276618091111985,5.75029539188657
00912,5920.0,42.4,21744.0,15777.0,2455.0,41.4695945945946,9.20608108108108
00913,8495.0,26.2,5902.0,7158.0,6933.0,81.61271336080047,15.526780459093585
00915,27534.0,38.9,14048.0,9136.0,16416.0,59.620832425365,13.466986271518849
00917,18316.0,45.9,15508.0,13829.0,9395.0,51.29395064424547,6.158549901725268
00918,16595.0,42.3,23333.0,20852.0,6819.0,41.09068996685749,4.230189816209702
00920,16698.0,45.0,25433.0,14906.0,5291.0,31.68642951251647,3.0303030303030303
00921,35161.0,38.7,18690.0,12707.0,16019.0,45.5590000284406,3.848013423964051
00923,24754.0,39.3,14041.0,10907.0,14208.0,57.39678435808354,8.15221782338208
00924,51699.0,38.2,19303.0,12558.0,23609.0,45.66626046925472,9.098822027505367
00925,6796.0,34.6,9903.0,10804.0,4145.0,60.99175985874044,13.066509711595057
00926,99106.0,43.0,33624.0,22687.0,29413.0,29.67832421851351,3.778782313886142
00927,13503.0,45.9,32932.0,25107.0,3605.0,26.697770865733542,4.576760719840036
00934,25.0,-666666666.0,-666666666.0,,0.0,0.0,0.0
00936,749.0,72.1,-666666666.0,8875.0,0.0,0.0,0.0
00949,76058.0,39.0,26032.0,12924.0,25943.0,34.10949538510084,7.830865918115123
00950,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,,
00951,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,,
00952,8467.0,42.3,15434.0,8998.0,3983.0,47.041455060824376,8.645328924058107
00953,72608.0,37.1,29837.0,14360.0,21593.0,29.73914720141031,5.773468488320846
00956,68452.0,40.4,23322.0,12226.0,25233.0,36.862326885993106,7.494302576988255
00957,40738.0,40.2,24438.0,13000.0,15055.0,36.95566792675144,6.131867052874466
00959,47849.0,40.2,29737.0,15979.0,14152.0,29.57637568183243,5.379422767455956
00960,2454.0,33.2,-666666666.0,3972.0,19.0,0.7742461287693562,0.0
00961,31017.0,42.3,28455.0,16714.0,9469.0,30.528419898765193,4.558790340780862
